index,' sex',' mstatus',' age',' children',' occupation',' education',' income',' avbal',' avtrans',' decision'
789.444456,F,single,26.599135,0,government,secondary,4177.655884,17232.322607,377.006319,B
919.713386,F,single,26.483084,0,government,secondary,4076.038842,16621.684677,443.339847,B
541.565851,F,single,26.240189,0,government,secondary,4042.488673,17360.276257,525.260992,B
539.582259,F,single,25.774505,0,government,secondary,3732.50863,17531.501811,507.946963,B
252.826804,M,single,26.080034,0.882542,manuf,tertiary,10376.712412,48344.574688,2990.014717,B
342.562891,M,single,26.346815,1.301605,manuf,tertiary,10863.175217,48684.894339,3364.42074,B
116.681678,M,single,24.950168,0.421532,legal,tertiary,10083.169069,42667.058511,1892.098145,B
124.120175,M,single,25.091271,0.189078,legal,tertiary,10138.584052,42729.10781,1876.101301,B
510.755186,F,single,26.709378,2.216191,legal,tertiary,8181.254585,17003.560394,2470.725309,B
412.867108,F,single,26.629068,1.595154,legal,tertiary,7892.336866,18555.533961,2508.780352,B
545.091437,F,single,26.278694,2.447829,IT,tertiary,8276.410908,16575.242059,2492.431436,B
497.430338,F,single,25.150366,2.296658,IT,tertiary,8319.985435,16156.474423,2453.579696,B
201.160405,F,single,24.927578,0,IT,secondary,2743.940889,14210.741851,642.055418,B
252.55413,F,single,22.622876,0,IT,secondary,2728.050956,14399.407424,741.888952,B
495.818565,F,single,20.708686,0,IT,secondary,2476.525238,11878.544456,831.746679,B
416.208489,F,single,20.329999,0,IT,secondary,2226.011265,8554.141029,1048.902011,B
437.888825,M,single,25.092083,0.001683,manuf,tertiary,6065.693428,26630.387834,2968.621545,B
284.083211,M,single,24.930772,0.003557,manuf,tertiary,6305.896623,27015.219298,3490.263742,B
417.96156,M,single,25.116752,0,manuf,tertiary,6037.272989,26160.968922,1632.492348,B
568.848226,M,single,24.765412,0,manuf,tertiary,6073.582688,26070.092759,2441.653509,B
603.96961,F,single,21.706852,0,government,tertiary,6517.212032,21572.411286,2888.319468,B
624.258191,F,single,21.507904,0,government,tertiary,5838.537032,21291.244628,2893.072209,B
356.064734,F,single,20.721472,0,government,tertiary,6890.726678,21108.462772,2777.052474,B
530.657661,F,single,20.898373,0.068096,government,tertiary,6746.198794,20820.915159,3026.110799,B
628.116185,M,single,27.499105,0.685618,legal,tertiary,5366.816627,29125.064512,3283.801566,B
627.153761,M,single,27.436832,0.563686,legal,tertiary,5365.858599,29388.215993,3550.511314,B
381.694675,M,single,24.391034,0.000742,legal,tertiary,5924.123819,26978.285984,2216.051366,B
63.881276,M,single,27.400246,0.467473,legal,tertiary,5372.38678,27546.868373,2852.16888,B
331.794326,F,single,24.124926,0,legal,postgrad,8643.786045,26711.617183,5180.561093,B
293.434165,F,single,24.639228,0,legal,postgrad,8671.600992,26471.834932,4704.069408,B
891.429989,F,single,24.617203,0,legal,tertiary,9049.206099,25865.492243,2844.002119,B
971.373782,F,single,24.3556,0,legal,tertiary,9345.085701,25708.013815,2685.699449,B
155.221411,M,single,25.890181,1.368658,legal,tertiary,8702.151343,41007.098684,2607.855565,B
252.040117,M,single,25.177728,1.151473,legal,tertiary,9335.797702,41845.422348,1911.3349,B
571.71575,M,single,25.806054,0.030227,legal,tertiary,10517.526706,38964.455709,2168.336503,B
606.937227,M,single,25.747597,0.001315,legal,tertiary,10921.272245,39300.1548,2165.707867,B
730.609397,F,single,24.986919,0,legal,tertiary,8759.544633,25521.361407,2599.844288,B
472.822875,F,single,25.81206,0,legal,tertiary,8949.029703,25493.463097,2611.906622,B
472.161928,F,single,23.891247,0,legal,tertiary,9877.964815,27563.444678,2207.628018,B
486.067796,F,single,23.690558,0,legal,tertiary,9899.547746,27438.723076,2356.03459,B
711.084798,F,single,26.30757,0,government,secondary,2804.573882,16559.335637,343.357573,B
796.778202,F,single,27.614042,0,government,secondary,3238.41712,16965.444454,398.533001,B
731.264708,F,single,27.694963,0,government,secondary,3364.125428,17981.762372,421.009763,B
703.748504,F,single,28.030916,0,government,secondary,3457.198503,18080.71917,422.578643,B
109.092028,M,single,26.947607,0,manuf,tertiary,3897.794969,25216.433779,2124.57999,B
193.017831,M,single,26.668103,0,manuf,tertiary,3838.93273,25107.141804,2102.335173,B
551.201161,M,single,21.740113,0,manuf,tertiary,4920.811122,24171.929086,2073.229588,B
671.520071,M,single,22.063765,0,manuf,tertiary,5366.102781,24060.68645,1814.831867,B
554.029795,M,single,21.548133,0,manuf,tertiary,5519.229942,23958.296866,1939.436125,B
610.583227,M,single,19.764589,0,manuf,tertiary,5788.582727,24287.798877,2156.627223,B
548.338717,M,single,21.268399,0,manuf,tertiary,4608.825382,25058.829317,1284.611326,B
543.999365,M,single,22.412595,0,manuf,tertiary,4726.535164,25023.808812,1254.067639,B
701.239348,F,single,23.026706,0,legal,postgrad,8776.916989,26875.543084,4524.580077,B
728.035849,F,single,22.202225,0,legal,postgrad,8777.389613,26886.470998,5002.586229,B
714.17669,F,single,25.052373,0,legal,tertiary,9037.2055,25457.782314,2587.334624,B
658.093837,F,single,24.968514,0,legal,tertiary,9046.334399,25466.115669,2592.14444,B
734.107833,F,single,26.437311,0,government,secondary,4053.517772,16523.78057,769.969739,B
737.638318,F,single,25.516294,0,government,secondary,3942.537466,16188.617109,764.262881,B
476.33979,F,single,27.710119,0,IT,secondary,6493.520776,12516.690018,1529.054604,B
337.446578,F,single,28.179438,0,IT,secondary,6758.872093,13225.115591,1622.557609,B
633.332328,F,single,23.624781,0,legal,tertiary,10449.301223,27109.010877,2343.747969,B
632.207026,F,single,23.587241,0,legal,tertiary,10558.293011,27108.972294,2338.686648,B
34.403516,M,single,28.49685,0,legal,tertiary,14220.16587,29960.843456,3223.208145,B
118.439359,M,single,27.564904,0,legal,tertiary,13184.02071,28892.084414,3553.608489,B
338.402127,M,single,26.243236,1.255471,legal,tertiary,11229.898306,30450.497842,3152.968347,B
573.920149,M,single,26.652874,0.016348,legal,tertiary,11743.096761,30325.819267,3012.507835,B
8.34384,M,single,28.356705,0,legal,tertiary,13882.180664,29417.314165,3309.954516,B
522.181236,M,single,27.923214,0,legal,tertiary,12356.057167,28612.869692,3365.559015,B
518.23252,M,single,25.256964,0,manuf,tertiary,4878.518073,25929.542742,2188.325019,B
253.84297,M,single,26.865719,0,manuf,tertiary,5020.670133,25649.215852,2343.0962,B
458.957176,M,single,25.671922,0,manuf,tertiary,5507.993257,25655.836033,2367.961043,B
398.307291,M,single,25.468308,0,manuf,tertiary,5706.10288,26020.218915,2327.650665,B
60.870489,F,single,23.859748,0.045069,legal,tertiary,6644.34948,28139.011262,3668.421461,B
157.874387,F,single,24.927328,0.184372,legal,tertiary,7381.941223,28137.537627,3504.273227,B
162.002667,F,single,28.555444,0.953382,legal,tertiary,7006.994309,28198.276595,3482.913698,B
202.826213,F,single,24.786015,0.124158,legal,tertiary,7852.976663,27667.562951,3651.34844,B
105.760579,F,single,22.868843,0,government,tertiary,8643.650439,22060.363873,2313.783092,B
113.497781,F,single,21.889397,0,government,tertiary,8174.755352,22039.184405,2360.19561,B
107.484858,F,single,21.617251,0,government,tertiary,8140.25986,22042.226954,2391.696605,B
76.180528,F,single,23.106157,0,government,tertiary,8482.849561,22059.134756,2304.951565,B
124.119315,M,single,27.443336,2.741902,manuf,tertiary,9081.229201,45453.181597,3499.473956,B
236.658972,M,single,26.68676,2.498329,manuf,tertiary,9049.340177,46433.695005,3362.697816,B
374.098856,M,single,26.178213,1.323368,legal,tertiary,9571.40026,40567.472312,2716.261216,B
172.095401,M,single,26.464361,2.098731,legal,tertiary,8830.260582,41014.591222,3090.979985,B
393.671471,M,single,27.487902,1.895167,legal,tertiary,10493.465056,30557.748032,2799.179954,B
297.043164,M,single,26.054525,1.279225,legal,tertiary,10490.419115,30734.582746,2306.059292,B
121.955552,M,single,28.820413,0.883125,legal,tertiary,9778.72019,33675.904494,2180.337919,B
87.998548,M,single,28.954979,0.97505,legal,tertiary,9666.378348,33169.860944,1974.158998,B
134.937028,F,single,26.667347,0,government,secondary,4649.864898,20239.863314,661.165823,B
135.405751,F,single,26.487728,0,government,secondary,4240.634085,20108.915516,656.077766,B
701.683821,M,single,22.882935,0,manuf,tertiary,5133.23943,22500.136592,1406.307018,B
826.114545,M,single,20.333934,0,manuf,tertiary,4939.550826,22330.4964,1573.197381,B
196.522346,F,single,25.601349,0,IT,secondary,3433.877709,11045.064704,1002.789849,B
195.604893,F,single,25.301578,0,IT,secondary,3367.17185,11038.85876,1001.318105,B
183.445184,F,single,24.026576,0,IT,secondary,3355.733343,12057.507809,980.561353,B
156.936592,F,single,21.816348,0,IT,secondary,2922.315946,13883.39667,594.853999,B
408.807705,M,single,24.945565,0.000308,manuf,tertiary,6292.618755,26651.925032,2732.18698,B
375.717594,M,single,23.831183,0.000014,manuf,tertiary,6202.826114,26239.177847,2615.321475,B
296.115142,M,single,24.406133,0.001471,manuf,tertiary,6126.789456,26461.894439,2681.01037,B
285.15887,M,single,24.760722,0.001648,manuf,tertiary,6123.439069,26610.00206,2978.241574,B
394.244612,F,single,25.261204,0,legal,tertiary,8845.372544,25451.480813,2588.996325,B
239.358661,F,single,26.277178,0,legal,tertiary,8963.17804,25469.922664,2586.069256,B
196.955323,F,single,25.596574,0,legal,tertiary,8912.328633,25585.164674,2550.947866,B
211.228188,F,single,25.462898,0,legal,tertiary,9005.043005,25561.102373,2568.208704,B
165.137727,M,single,26.595244,0.073179,manuf,tertiary,10302.682582,46346.098896,2578.546548,B
248.076017,M,single,26.066933,1.319983,manuf,tertiary,10211.554576,47398.335663,2123.678433,B
182.306068,M,single,26.956837,2.121595,legal,tertiary,9144.157051,41694.178675,3090.339346,B
133.713024,M,single,26.485566,1.44032,legal,tertiary,9483.907539,42461.601719,2342.197341,B
401.904888,F,single,23.48343,0,legal,tertiary,10579.748762,27525.426971,1802.840122,B
205.094174,F,single,23.388078,0,legal,tertiary,10437.65268,27880.55787,1914.223052,B
331.688541,F,single,23.798772,0,legal,tertiary,10254.572806,27590.677197,2264.666873,B
358.790978,F,single,23.748842,0,legal,tertiary,10313.743072,27403.110434,1818.966247,B
348.884276,F,single,26.100241,1.044987,legal,tertiary,8797.089736,18164.883533,2471.039884,B
362.109714,F,single,25.945046,1.029679,legal,tertiary,8781.374111,18249.063334,2515.252228,B
374.378075,F,single,26.333953,1.314561,legal,tertiary,8177.676099,17447.243331,2500.063098,B
407.461379,F,single,26.202752,1.034735,legal,tertiary,7999.213273,18622.301719,2526.36784,B
284.569168,F,single,27.425472,0,IT,tertiary,9433.836302,15555.848271,1755.021011,B
229.448616,F,single,27.63423,0,IT,tertiary,9452.562459,15667.576462,2173.090436,B
328.665048,F,single,27.574728,0,IT,tertiary,6169.062243,11667.982292,2026.132439,B
275.713107,F,single,26.893278,0,IT,tertiary,5859.713081,12210.785157,1999.438133,B
410.867976,F,single,25.534961,0,legal,tertiary,10115.751918,17312.243972,2874.676602,B
416.540902,F,single,25.682202,0,legal,tertiary,10491.832438,17527.138697,3044.633104,B
379.047864,F,single,26.093868,0,legal,tertiary,12422.748881,17601.744495,3141.395972,B
297.927139,F,single,24.691465,0,legal,tertiary,11590.171602,16870.947098,2828.141206,B
284.433296,F,single,22.601157,0,legal,postgrad,8663.875115,27003.277483,4249.303379,B
266.017692,F,single,22.618171,0,legal,postgrad,8627.971375,26646.539719,3932.583475,B
360.064046,F,single,22.042108,0,legal,postgrad,8668.671307,27011.81949,4573.936045,B
492.405513,F,single,22.054905,0,legal,postgrad,8659.255894,27014.035299,4674.61541,B
368.468312,F,single,28.00253,0,IT,tertiary,6241.184614,12116.998564,1731.987284,B
403.388758,F,single,28.064605,0,IT,tertiary,6164.832296,11741.538207,1946.809397,B
374.114691,F,single,27.871777,0,IT,tertiary,7712.048556,12901.157114,1886.332014,B
275.829637,F,single,27.466103,0,IT,tertiary,8331.353677,11667.97817,1736.515573,B
320.299003,M,single,27.610885,0,manuf,tertiary,11056.738958,55883.298824,3935.859005,B
305.857645,M,single,27.644884,0,manuf,tertiary,10879.395263,55796.550493,3627.235674,B
462.635754,M,single,26.851455,0,manuf,tertiary,10885.513397,55297.495297,3332.61343,B
446.365778,M,single,27.634702,0,manuf,tertiary,11067.62572,55804.411974,3499.390444,B
259.941615,F,single,27.058726,0,IT,tertiary,5764.721871,11674.018879,1959.544733,B
440.997004,F,single,28.010596,0,IT,tertiary,6021.105087,12097.461055,1746.073205,B
371.75485,F,single,27.428197,0,IT,tertiary,6824.973623,11670.374519,2009.653593,B
300.871409,F,single,27.254868,0,IT,tertiary,6905.629677,11664.44573,2016.070982,B
438.417215,F,single,21.313908,0,government,tertiary,6775.081452,21356.06686,2929.139607,B
447.026885,F,single,20.49805,0,government,tertiary,6851.515059,21995.786642,2879.770409,B
509.007667,F,single,20.352458,0,government,tertiary,6773.832319,21633.060133,2884.18549,B
583.242174,F,single,20.737626,0,government,tertiary,6707.127342,21071.800345,2911.798208,B
737.682756,F,single,23.63609,0,government,secondary,3137.695956,17165.274209,670.419609,B
499.690887,F,single,25.173497,0,government,secondary,2683.141613,17154.572217,522.037009,B
499.678856,F,single,25.863451,0,government,secondary,2719.65398,16715.13245,406.460904,B
512.488789,F,single,25.732262,0,government,secondary,2683.881432,16648.708276,435.434516,B
416.96918,F,single,25.927462,0,IT,tertiary,9748.012987,15874.374751,2380.114829,B
488.125476,F,single,24.578717,0.038601,IT,tertiary,9890.992946,15922.31966,2306.640456,B
522.865904,F,single,23.565977,1.265087,IT,tertiary,8965.097787,16037.7427,2437.089302,B
540.668537,F,single,25.303674,1.506406,IT,tertiary,8437.399167,15697.788189,2441.197467,B
513.974747,M,single,24.330216,0,manuf,tertiary,3499.283836,25807.308661,1318.696659,B
435.04515,M,single,25.986369,0,manuf,tertiary,3698.008643,25775.841773,1519.6445,B
484.92063,M,single,27.606058,0,manuf,tertiary,3592.281561,25514.554114,1270.188627,B
535.644023,M,single,27.538818,0,manuf,tertiary,3553.297422,25480.328469,1300.854292,B
718.863064,F,single,27.365726,0,government,secondary,4540.898921,17651.846824,399.554175,B
655.042736,F,single,27.200685,0,government,secondary,4374.727449,17503.898953,386.707579,B
541.490987,F,single,26.953403,0,government,secondary,4194.170667,17474.34757,388.000604,B
539.074916,F,single,26.343886,0,government,secondary,3917.393981,17369.189675,506.473749,B
396.485497,M,single,26.911982,0,manuf,tertiary,11381.973443,55064.693932,3477.955851,B
499.232636,M,single,21.216316,0,manuf,tertiary,11621.322981,53683.594768,2136.846981,B
352.770392,M,single,25.451071,0.838311,manuf,tertiary,10680.853346,49323.26501,2228.469101,B
380.161218,M,single,23.884346,0.153137,manuf,tertiary,11023.484581,50294.391054,3975.854347,B
581.198986,F,single,25.251829,1.241874,legal,tertiary,7165.668618,19810.613218,2824.473502,B
563.462459,F,single,21.651096,0.854265,legal,tertiary,6792.885035,20408.890382,3113.532159,B
543.973072,F,single,21.661221,0.291281,government,tertiary,7101.565152,20982.796464,2776.471709,B
598.348002,F,single,22.734669,0.777704,government,tertiary,7243.406388,21378.66873,2460.027775,B
450.077877,F,single,21.161405,0,IT,secondary,2267.713414,13081.506297,1058.189406,B
248.796005,F,single,21.680927,0,IT,secondary,2701.018042,11506.057287,715.406831,B
419.433971,F,single,24.360846,0,IT,secondary,3020.748087,10287.451139,1453.639273,B
349.905377,F,single,23.59988,0,IT,secondary,3117.736962,9390.780427,976.779429,B
553.789315,M,single,25.129006,0.00136,manuf,tertiary,6213.514895,26629.201131,2855.512622,B
492.437736,M,single,25.174807,0.000536,manuf,tertiary,6197.082026,26431.052799,2653.327895,B
280.621689,M,single,22.221759,0,manuf,tertiary,6053.169373,26277.46451,2045.418579,B
608.377774,M,single,25.028718,0,manuf,tertiary,6171.003432,26140.688748,2187.09583,B
421.536518,F,single,22.265462,0.828301,government,tertiary,5805.513126,18607.056692,2651.736813,B
618.643112,F,single,21.403036,0.039783,government,tertiary,6038.968282,19679.193756,3108.423903,B
623.68776,F,single,22.592242,0.23173,government,tertiary,6894.866907,20447.962809,3012.185868,B
431.7737,F,single,22.865776,1.512372,government,tertiary,7262.262627,19160.571051,3115.698381,B
671.134358,M,single,26.946454,0.106777,legal,tertiary,5300.418216,29846.784459,3372.558358,B
699.04091,M,single,27.125761,0.335178,legal,tertiary,5351.216277,29522.243718,3203.533346,B
136.353859,M,single,26.464264,0.718539,legal,tertiary,5791.495513,28814.76795,3338.700136,B
407.033189,M,single,27.6793,0.729562,legal,tertiary,5606.918919,28893.317099,3399.28331,B
616.498834,F,single,25.68247,0,legal,postgrad,9998.599179,26291.734528,4583.09623,B
317.790118,F,single,24.979464,0,legal,postgrad,8718.681143,26607.74745,5129.114512,B
712.335973,F,single,23.486453,0,legal,postgrad,9757.722992,26723.854794,4966.430146,B
750.622163,F,single,22.159059,0,legal,postgrad,10045.736548,26645.012872,4525.851387,B
455.087901,M,single,25.747851,1.791646,legal,tertiary,10359.341689,38105.638117,1984.073493,B
541.657419,M,single,25.986303,1.948448,legal,tertiary,11488.617781,37618.023883,2344.257585,B
484.416448,M,single,25.256376,0.049451,legal,tertiary,10536.69787,38438.991627,1708.730643,B
572.737224,M,single,24.879334,0.233617,legal,tertiary,10930.118587,38654.159794,1810.815159,B
417.046135,F,single,24.519482,0.040078,legal,tertiary,6376.216632,27879.975487,3294.800633,B
306.231124,F,single,24.82108,0.011408,legal,tertiary,6572.76168,27822.174403,3462.094205,B
87.342422,F,single,25.686049,0.420405,legal,tertiary,6348.2395,27576.686733,3054.883078,B
426.855786,F,single,28.071216,0.283174,legal,tertiary,6779.475803,27543.30694,3517.092035,B
772.131217,F,single,27.369506,0,government,secondary,3476.157278,17790.059341,381.968668,B
696.65088,F,single,27.671188,0,government,secondary,3378.530816,17973.503378,427.50979,B
794.721021,F,single,27.504191,0,government,secondary,3245.407692,17749.427595,408.047023,B
830.000578,F,single,27.656058,0,government,secondary,2979.9675,18067.086752,396.398166,B
448.416823,M,single,24.114121,0,manuf,tertiary,3778.146406,25125.539988,1369.575386,B
568.65202,M,single,26.697117,0,manuf,tertiary,2928.24231,25496.767029,1419.845519,B
606.682036,M,single,24.470561,0,manuf,tertiary,3237.850606,24470.881107,1541.58087,B
604.391289,M,single,24.69068,0,manuf,tertiary,3503.043421,24439.250263,1597.434359,B
767.454134,M,single,22.690007,0,manuf,tertiary,2778.718791,23805.799271,1299.813459,B
765.022125,M,single,23.411582,0,manuf,tertiary,2923.83514,24536.624291,1293.485315,B
628.482616,M,single,24.710579,0,manuf,tertiary,4660.589872,24457.522619,1306.308302,B
539.985073,M,single,22.251236,0,manuf,tertiary,4812.952897,24587.941628,1643.343366,B
915.42581,F,single,24.294787,0,legal,tertiary,9067.645492,25625.748438,2569.377024,B
877.21225,F,single,24.64914,0,legal,tertiary,8946.008987,25740.659558,2716.797469,B
907.448736,F,single,24.448457,0,legal,tertiary,8952.774565,25619.797892,2583.128001,B
664.567977,F,single,24.285728,0,legal,tertiary,9067.086561,25563.945941,2592.556234,B
804.336349,F,single,25.515329,0,government,secondary,4021.897201,16192.340862,791.163552,B
805.653268,F,single,24.689013,0,government,secondary,3793.303338,16271.757102,375.428222,B
819.583737,F,single,26.056116,0,government,secondary,4325.712907,17363.03595,367.279811,B
806.738363,F,single,26.256379,0,government,secondary,4435.98869,17394.358375,363.60216,B
775.647906,M,single,26.22357,0,legal,tertiary,11748.981645,29887.69348,2827.17857,B
355.529226,M,single,25.156829,0.327456,legal,tertiary,11567.042452,30366.96144,2321.331256,B
786.278702,M,single,27.981419,0,legal,tertiary,11671.717661,29760.19419,3071.013539,B
737.322992,M,single,27.208439,0,legal,tertiary,11564.43466,29196.476394,3171.858734,B
585.6694,F,single,27.487581,0,legal,tertiary,10398.958655,27393.316669,2762.539457,B
468.758291,F,single,24.275056,0,legal,tertiary,10434.218121,26750.239294,3268.107675,B
520.818932,M,single,26.832436,0,legal,tertiary,11701.705964,29853.011822,2920.882235,B
435.960969,M,single,27.571456,0,legal,tertiary,11660.714673,29212.97555,3214.734312,B
303.734664,M,single,27.942138,0,legal,tertiary,11693.019153,28797.614017,3192.691234,B
94.729788,M,single,27.89597,0,legal,tertiary,11680.932348,27938.954431,3474.89603,B
610.364257,M,single,27.904209,0,legal,tertiary,11693.446247,29498.965348,3254.99145,B
709.015959,M,single,27.957328,0,legal,tertiary,11695.040751,28887.780304,3223.469803,B
123.219564,M,single,26.388272,0.495545,legal,tertiary,5119.20451,27583.731396,2620.901493,B
150.417702,M,single,25.677507,0.393103,legal,tertiary,5181.55845,27603.614024,2449.746587,B
233.926365,M,single,25.211827,0.251268,legal,tertiary,5585.047761,27513.686192,2350.091616,B
139.491078,M,single,24.826874,0.059171,legal,tertiary,5532.960035,27618.960164,2184.594228,B
906.282011,M,single,19.379577,0,manuf,tertiary,5555.069835,24102.351416,1765.579099,B
556.873496,M,single,19.533192,0,manuf,tertiary,5751.616705,24258.544113,2045.557011,B
238.324113,M,single,24.921486,0,manuf,tertiary,6080.529655,25578.744039,2445.465476,B
133.258325,M,single,26.421931,0,manuf,tertiary,5039.442096,25471.142341,2377.257453,B
215.589931,M,single,26.572068,0.689647,legal,tertiary,5545.546988,27596.318738,3554.51499,B
61.96916,M,single,24.627422,0.268615,legal,tertiary,6138.78795,27990.481521,3664.320422,B
419.339036,F,single,24.288961,0.033049,legal,tertiary,6595.071813,27486.296683,3393.22594,B
156.557253,F,single,24.284186,0.019252,legal,tertiary,6135.918856,27140.531235,3455.116904,B
223.640883,F,single,24.476343,0.158375,legal,tertiary,9169.023889,26797.011002,2841.090281,B
296.272395,F,single,26.514191,0.010781,legal,tertiary,9210.274937,27346.746108,2728.44294,B
287.112353,F,single,24.736466,0.261382,legal,tertiary,9026.895028,27311.728801,2638.89233,B
230.071927,F,single,23.462018,0.230887,legal,tertiary,8697.611489,26862.770277,3258.18443,B
404.062612,F,single,26.496125,0,legal,tertiary,8753.619586,24590.531923,2577.213154,B
447.355008,F,single,25.384237,0,legal,tertiary,8918.458917,24937.482016,2601.236127,B
415.565846,F,single,22.091819,0,government,tertiary,8716.560345,22996.462936,2015.633625,B
360.876861,F,single,21.56909,0,government,tertiary,8275.923934,22809.296511,2069.691158,B
161.823279,F,single,20.665521,0,government,tertiary,8255.553029,22457.438804,1944.884709,B
139.790209,F,single,21.85634,0,government,tertiary,8274.26326,22418.025921,2287.703638,B
396.315026,M,single,21.24241,0,manuf,tertiary,6127.35376,23588.645355,1937.170676,B
573.145134,M,single,21.269943,0,manuf,tertiary,5614.73834,23659.711226,1955.496606,B
138.658397,M,single,27.311501,1.558024,manuf,tertiary,9605.675275,44428.010455,3176.631525,B
99.63504,M,single,26.801541,1.074573,manuf,tertiary,9844.758552,45303.688139,2406.868284,B
589.191818,M,single,26.035873,1.361042,legal,tertiary,11531.960159,38787.402287,2287.628114,B
786.504592,M,single,25.912599,2.21035,legal,tertiary,11728.379825,38723.880884,1709.462262,B
468.56045,M,single,24.842737,1.065626,legal,tertiary,11211.992155,29860.085003,2291.205758,B
494.232525,M,single,24.920817,1.164388,legal,tertiary,10508.10442,29768.7182,2289.338483,B
464.950177,M,single,27.792035,1.029349,legal,tertiary,9755.119629,32926.367476,2852.040123,B
108.735783,M,single,28.531748,1.009325,legal,tertiary,9675.901555,32838.710809,2159.841714,B
180.907433,M,single,28.3484,0.834055,legal,tertiary,6561.153386,30150.640369,2585.981059,B
601.690509,M,single,28.477382,0.923883,legal,tertiary,6564.089153,30047.83433,2815.770687,B
711.576158,F,single,27.785639,0.578952,legal,tertiary,8208.853301,27941.197371,2681.735601,B
506.990345,F,single,27.685372,0.398775,legal,tertiary,8044.247283,28071.370109,2706.481324,B
116.382314,M,single,26.144499,0.892835,legal,tertiary,10002.685137,33283.944895,2117.922363,B
209.027686,M,single,25.929277,0.739553,legal,tertiary,10114.067997,32513.88263,2185.234653,B
378.742719,M,single,25.108604,1.247815,legal,tertiary,10804.799874,30501.627459,2319.876939,B
538.761794,M,single,25.664244,0.718692,legal,tertiary,11429.217995,30241.240153,2405.335136,B
564.095518,F,single,27.808124,0,government,secondary,4489.60583,17804.014222,447.904106,B
594.083955,F,single,27.544714,0,government,secondary,4625.797198,17738.355062,426.815745,B
538.46029,F,single,26.26298,0,government,secondary,4204.898526,17278.467352,499.017202,B
567.21294,F,single,27.392807,0,government,secondary,4308.626992,17508.500419,407.093723,B
660.468334,F,single,27.253981,0,government,secondary,4642.946307,17682.89394,406.838617,B
610.078769,F,single,27.535328,0,government,secondary,4692.899185,17717.41444,428.668925,B
712.559126,F,single,25.824606,0,government,secondary,4469.512413,16969.072342,363.20243,B
831.167171,F,single,26.36791,0,government,secondary,4226.784367,16560.65848,620.346351,B
175.197538,F,single,22.44693,0,IT,secondary,3227.100222,10351.377714,726.710208,B
184.432222,F,single,22.567031,0,IT,secondary,3161.189915,10732.032678,699.913762,B
164.97179,F,single,23.004294,0,IT,secondary,2939.301991,13670.084029,691.932614,B
164.552927,F,single,22.638799,0,IT,secondary,2987.401324,13599.152428,604.101185,B
169.219154,F,single,22.966568,0,IT,secondary,2738.956219,14106.515638,546.212311,B
272.160732,F,single,26.204636,0,IT,secondary,3213.071072,14294.027948,889.589763,B
453.86612,F,single,25.586427,0,government,secondary,2523.24683,16139.945288,740.975024,B
499.427737,F,single,22.167713,0,government,secondary,2678.055232,17086.837597,593.129388,B
650.691891,M,single,25.47379,0,manuf,tertiary,3270.915502,25876.308343,1431.38499,B
621.937723,M,single,25.323531,0,manuf,tertiary,2901.362047,24900.32714,1533.129103,B
458.151964,M,single,22.381909,0,manuf,tertiary,3928.829677,25172.280448,1300.056172,B
432.024261,M,single,23.117477,0,manuf,tertiary,3866.043063,25060.231435,1328.397319,B
476.04924,M,single,24.925324,0,manuf,tertiary,5999.14632,26014.346833,1767.140916,B
277.441177,M,single,23.134713,0,manuf,tertiary,5979.578159,26095.681014,1671.528398,B
573.622596,M,single,24.69756,0,manuf,tertiary,5956.083652,26685.055023,1848.080217,B
586.618485,M,single,25.623175,0,manuf,tertiary,6039.230762,26003.484121,2190.806592,B
260.354612,F,single,25.685171,0,legal,tertiary,9051.545714,25572.417868,2602.138044,B
398.020767,F,single,25.217816,0,legal,tertiary,9045.190552,25533.156859,2580.868699,B
198.051235,F,single,25.644008,0,legal,tertiary,8932.109978,25484.206804,2560.270162,B
315.123788,F,single,25.738474,0,legal,tertiary,8991.15916,25655.396995,2595.56165,B
792.736621,F,single,24.856816,0,legal,tertiary,8946.457174,25642.422311,2570.794228,B
727.123078,F,single,25.02972,0,legal,tertiary,8869.146607,25466.140943,2579.930812,B
675.858633,F,single,24.63253,0,legal,tertiary,8537.807027,25922.169507,2695.041599,B
219.948315,F,single,24.913919,0,legal,tertiary,8358.049311,25815.023968,2551.023392,B
312.539873,M,single,26.897245,0,manuf,tertiary,10785.871583,48468.789591,3209.490422,B
281.01199,M,single,27.475943,0,manuf,tertiary,10942.090159,48976.691024,4235.434052,B
338.562552,M,single,27.153618,0,manuf,tertiary,11169.908953,50527.095251,3932.505659,B
349.877379,M,single,26.110138,0.106417,manuf,tertiary,10625.794027,49549.88773,3545.095631,B
267.906414,M,single,28.137244,0.75169,legal,tertiary,10154.288531,31653.811568,2269.956148,B
370.385076,M,single,25.84407,1.467047,legal,tertiary,10175.813594,31742.436859,2248.737095,B
232.829497,M,single,27.79704,0.402549,legal,tertiary,10531.845618,30832.662242,2271.081099,B
829.508856,M,single,23.867099,0.005961,legal,tertiary,10395.596828,29934.781069,2286.91314,B
596.429182,F,single,27.695204,0.158104,legal,tertiary,8209.837443,27525.254498,3088.47387,B
201.137849,F,single,27.711077,0.326264,legal,tertiary,9068.021514,27831.723867,3186.48235,B
470.127896,F,single,24.497233,0,legal,tertiary,8925.268303,27546.091604,2335.14897,B
453.86737,F,single,24.455693,0,legal,tertiary,9566.23296,27546.545862,2209.06493,B
